Employee #,Last Name,First Name,Date,Time-in,Time-out,"Hours 
Worked",Month,Week,
10001,Crisostomo,Jose,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10002,Mata,Christian,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10003,San Jose,Brad ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10004,Salcedo,Anthony,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10005,Romualdez,Alice,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10006,Atienza,Rosie ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10007,Farala,Martha,09-Jan-22,08:27:00,17:00:00,7.55,Jan,03-Jan-22,2
10008,Martinez,Leila,09-Jan-22,08:01:00,17:00:00,7.98,Jan,03-Jan-22,2
10009,San Jose,Allison ,09-Jan-22,08:05:00,17:00:00,7.92,Jan,03-Jan-22,2
10010,Rosario,Cydney ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10011,Lopez,Josie ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10012,De Leon,Selena ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10013,Romualdez,Fredrick ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10014,Bautista,Mark ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10015,Lazaro,Darlene ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10016,Delos Santos,Kolby ,09-Jan-22,08:28:00,17:00:00,7.53,Jan,03-Jan-22,2
10017,Santos,Vella ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10018,Del Rosario,Tomas,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10019,Tolentino,Jacklyn ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10020,Gutierrez,Percival ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10021,Manalaysay,Garfield ,09-Jan-22,08:11:00,17:00:00,7.82,Jan,03-Jan-22,2
10022,Villegas,Lizeth ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10023,Ramos,Carol ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10024,Maceda,Emelia ,09-Jan-22,08:21:00,17:00:00,7.65,Jan,03-Jan-22,2
10025,Aguilar,Delia ,09-Jan-22,08:00:00,17:00:00,8,Jan,03-Jan-22,2
10001,Crisostomo,Jose,09-Feb-22,08:00:00,17:00:00,8,Feb,10-Jan-22,2
10002,Mata,Christian,09-Feb-22,08:00:00,17:00:00,8,Feb,10-Jan-22,2
10003,San Jose,Brad ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10004,Salcedo,Anthony,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10005,Romualdez,Alice,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
10006,Atienza,Rosie ,09-Feb-22,08:00:00,17:00:00,8,Feb,07-Feb-22,2
